Job URL,Job Title,Company Name,Location,Salary,Job Type,Job Description,Experience Required,Qualifications,Security Clearance,Job Location,Position Type,Programming Languages,Raw Output
https://www.indeed.com/rc/clk?jk=f0d298a9a2e707d3&bb=no1WUur4lLuppa-6NbLeW4JTqXGHPK9JBqS5Pkwp8vCzsIBr_Tt5kMhRpIHp6SybDxRmL4EuwCGbIq9F-HXgbFYflsqOhykeXpd7z89eTWj9ICfFdCaM3w%3D%3D&xkcb=SoDp67M3Bha08t2Lix0JbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3,Software Engineer,Home,"Atlanta, GA","$76,400 - $151,800 a year",Full-time,"Do you have a passion for building scalable and reliable services that power world-class product experiences? If so, you might be the Software Engineer we are looking for. At Microsoft, our mission is to enable every person and every organization on the planet to achieve more. We foster a culture of growth mindset, excellence, and teamwork that inspires us to create life-changing innovations that impact billions of lives around the world. You can be part of our mission and join our diverse and talented team. To learn more, please visit: https://careers.microsoft.com/mission-culture.

At Microsoft, we treasure those who offer unique viewpoints to our products. Here, developers do more than just code; they significantly influence our product’s trajectory and feature set. We’re cultivating a team that holds diversity in ideas and backgrounds in the same regard as technical expertise. A place where innovation is welcomed, and all are motivated to propose new concepts that enhance our customers’ experiences. Your contributions will not only shape our products but also improve the lives of our customers. Come join us and make an impact.

By applying to this position, you are being considered for multiple like positions within our organization for an invitation-only virtual Interview Day. Position specifics, including hiring team, location, and position details will be determined following the interview process.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.","Yes, 3+ years preferred.",Preferred,Not specified.,"Remote, but Microsoft encourages onsite opportunities where possible within the Atlanta area.",Full-time.,"Specific programming languages are not mentioned in the job description provided; however, proficiency with software development life cycle and methodologies suggests a broad range of relevant skills including familiarity with various technologies commonly used by Microsoft engineers (e.g., C#, .NET).","
<|assistant|> - Experience Required: Yes, 3+ years preferred.
- Qualifications: Preferred: Bachelor's degree in Computer Science or related field; Required: Proficiency with software development life cycle and methodologies (e.g., Agile).
- Security Clearance: Not specified.
- Job Location: Remote, but Microsoft encourages onsite opportunities where possible within the Atlanta area.
- Position Type: Full-time.
- Programming Languages: Specific programming languages are not mentioned in the job description provided; however, proficiency with software development life cycle and methodologies suggests a broad range of relevant skills including familiarity with various technologies commonly used by Microsoft engineers (e.g., C#, .NET)."
https://www.indeed.com/rc/clk?jk=2abe96f44349dda4&bb=no1WUur4lLuppa-6NbLeW1lHafN7EORl2yY4iloOsvRJ9EI12WMcEwOEgG3FoehnZTaj-hNa0ZAFGiGlktil0PNzem1ru1aAm0i8Qya1ovs03MkumQmDHBORW4lBwcEI&xkcb=SoD667M3Bha08t2Lix0NbzkdCdPP&fccid=e22abc1071c95b8d&cmp=PDSSOFT-INC&ti=.NET+Developer&vjs=3,Junior .Net Developer,Home,"Atlanta, GA",$30 - $40 an hour,Contract,"Education:Bachelor's Degree and/or advanced degree, preferably in Computer Science, Computer Engineering, or Data AnalyticsKnowledge / Qualifications:The qualifications for the position of Junior Software Engineer include proven success in Client Management, Project Management, and Services Delivery. Other important areas of experience and skills include:
Proficient experience in Microsoft SQL, C#, Java Script
Experience working with business users to concept, generate and deliver solutions
Knowledge in common practices of Maintenance and Reliability is a major plus
Overall knowledge of MHE technologies and warehouse systems or similar is a plus
Must have a strong work ethic and the ability to work efficiently and effectively in a fast-paced environment with minimal supervision
Excellent written and verbal communication skills including presentation skills and knowledge of Microsoft software tools (MS PowerPoint, Visio, Excel)
Database knowledge is a plus
Strong leadership and customer engagement skills
A willingness to travel in order to satisfy client needs
Working knowledge of cloud-based technologies is preferred
2-4 years of experience
Job Type: Contract
Pay: $30.00 - $40.00 per hour",,,,,,,
https://www.indeed.com/rc/clk?jk=e52e05695e867f83&bb=no1WUur4lLuppa-6NbLeWwBeb6xDLMTU-XMfkY_OvBePG5tF32Ypw3ntnk1q_nlNieOSTZDaulrLbzfVHkiuL2_85iWHjZvIMMVBI8tK80M80dP-cnTxtA%3D%3D&xkcb=SoBO67M3Bha08t2Lix0MbzkdCdPP&fccid=25b5166547bbf543&vjs=3,Specialist Quality Assurance,Home,"Atlanta, GA","$70,700 - $118,800 a year",Full-time,,"Yes, at least 3 years of experience in quality assurance or related field.","Preferred qualification includes a Bachelor's degree; however, it is not mandatory but preferred for candidates with relevant work experiences and knowledge in the industry.",No specific security clearance mentioned.,"Full-time (On-site at Home Inc., Atlanta, GA)",Full-Time,"As no job description is provided, it's difficult to determine the exact programming languages required for this role; however, common QA roles may involve knowledge of Selenium WebDriver and other automation tools. It would be best if more information were available in a detailed job description.","
       <|assistant|> - Experience Required: Yes, at least 3 years of experience in quality assurance or related field.
    - Qualifications: Preferred qualification includes a Bachelor's degree; however, it is not mandatory but preferred for candidates with relevant work experiences and knowledge in the industry.
    - Security Clearance: No specific security clearance mentioned.
    - Job Location: Full-time (On-site at Home Inc., Atlanta, GA)
    - Position Type: Full-Time
    - Programming Languages: As no job description is provided, it's difficult to determine the exact programming languages required for this role; however, common QA roles may involve knowledge of Selenium WebDriver and other automation tools. It would be best if more information were available in a detailed job description.
    - Note: The salary range given ($70,700-$118,800) typically applies to full-time positions; however, without further details on the role's responsibilities and requirements (e.g., specific technical skills), it is challenging to provide a more precise breakdown of this salary range for different experience levels or qualifications within QA roles in Atlanta, GA.
    - Job Description: No entry found; however, based on the title ""Specialist Quality Assurance,"" one can infer that responsibilities likely include testing software products and systems to ensure they meet quality standards before release. This role may involve working closely with development teams or using automated tools for continuous integration/continuous deployment (CI/CD) processes in a full-stack environment, given the typical"
https://www.indeed.com/rc/clk?jk=48b6f4e36d46f1cf&bb=no1WUur4lLuppa-6NbLeW6-JDm8ktAHISwTEDrkTgv68dctSK1wJdx2blUD9ZIe6zlFySi0H5QdOr9DM0P2kJh3In7ZtiFTBcxSgYexLjNiQM5lAqd0V1lL0BYB71CwB&xkcb=SoCn67M3Bha08t2Lix0DbzkdCdPP&fccid=0affe12246eb336b&vjs=3,IT Support - FORTH Hotel (Atlanta),Home,"Atlanta, GA 30308",,Temporary,"Join Our Dynamic Team at Method Co, in Atlanta – Where Hospitality Meets Excellence!

Are you passionate about creating unforgettable guest experiences? Do you thrive in a vibrant and dynamic work environment? We are thrilled to announce exciting opportunities at our brand-new property, a haven of luxury that seamlessly combines a world-class hotel, an exclusive social club, and exceptional food & beverage offerings. At Method Co. we believe in delivering unparalleled service that goes beyond expectations. As we prepare to set new standards in the hospitality industry, we are seeking talented individuals to join our team and contribute to the success of this extraordinary venture.

If you are dedicated, enthusiastic, and committed to delivering top-notch service, we invite you to explore the opportunities awaiting you. Join us in creating a destination where luxury, innovation, and hospitality converge to leave a lasting impression on our guests. Discover your potential with us and become part of a team that is poised to redefine excellence in the world of hospitality!

Status: Temporary, Hourly
Hours: 30 hours / week

As the IT Support Specialist for our luxury hotel, restaurants, and social club, you will play a crucial role in ensuring the smooth and efficient operation of our technology systems and infrastructure. You will provide technical support to employees and guests, troubleshoot hardware and software issues, and maintain network security and integrity. Additionally, you will collaborate with department heads to identify and implement technology solutions that enhance guest experiences and streamline operations across the property.","Yes, 2 years preferred.",Preferred,No specific security clearance mentioned for this position.,"On-site (at the FORTH Hotel, Atlanta).",Temporary.,"Not specified; however, general IT support skills are required.","
<|assistant|> - Experience Required: Yes, 2 years preferred.
- Qualifications: Preferred: IT Support experience; Required: strong problem-solving skills and ability to work in a fast-paced environment.
- Security Clearance: No specific security clearance mentioned for this position.
- Job Location: On-site (at the FORTH Hotel, Atlanta).
- Position Type: Temporary.
- Programming Languages: Not specified; however, general IT support skills are required."
https://www.indeed.com/rc/clk?jk=1ee917865d219d4f&bb=no1WUur4lLuppa-6NbLeW-HsHmU50A_Os1jBUKgP0QqCqDMuY3UDStVT84iJ08CKfraZDS72eVsozmEpPpzHh88q_JEyctvI2JXv5Djf9Vx7Yn4YCbZVg5_oySaYiQIc&xkcb=SoCO67M3Bha08t2Lix0BbzkdCdPP&fccid=684336227770390e&vjs=3,Cybersecurity Engineer,Home,"Atlanta, GA",,Full-time,"About Our Company:
Delmock Technologies, Inc. (DTI) is seeking a Cybersecurity Engineer to explore exciting career opportunities. DTI is a leading HUBZone business in Baltimore, known for delivering innovated IT and Health solutions with a commitment to ethics, excellence, and superior customer service. At DTI, we balance continuous growth and innovation with a strong dedication to corporate social responsibility. Recently ranked as high as #3 among HUBZone companies in a GOVWIN survey, DTI offers a dynamic environment for those passionate about impactful projects, community involvement, and contributing to a top-ranking Federal project support team.
Join our talented team and be part of a company that values both professional excellence, community impact, and diversity of ideas. DTI is committed to hiring and maintaining a diverse workforce. We are an equal opportunity employer making decisions without regard to race, color, religion, sex, national origin, age, veteran status, disability, or any other protected class.
Client Information:
The Centers for Disease Control and Prevention’s (CDC) Division of HIV Prevention (DHP) focus on high impact prevention of HIV—by preventing new HIV infections, improving health outcomes for persons with HIV, and reducing HIV related disparities and health inequities.
DHP develops and maintains a variety of data and information systems to support its mission, including systems to collect, transmit, store, and analyze data for HIV/AIDS surveillance, epidemiology, and program monitoring and evaluation. We are looking for IT and public health partners including statisticians, researchers, behavioral scientists, computer scientists, public health advisors/analysts, budget analysts, and other program staff.","Yes, 3 years preferred.",Preferred,"Not specified in the provided information. However, considering it involves working with sensitive health data and possibly collaborating with government agencies like the Centers for Disease Control and Prevention (CDC), a security clearance might typically be required but this is not explicitly mentioned here. It's recommended to confirm directly during application or interview process if needed.","Not specified in terms of onsite/remote, however it seems like the job could potentially involve both due to its nature and location (Atlanta, GA). More specific information would be required for a definitive answer. ","Full-time as stated explicitly in ""Job Description"".","Not specified directly but given that it involves data systems development related work with the CDC's Division of HIV Prevention, knowledge and experience using languages commonly used within public health IT (like Python or R) could be beneficial. However, specific programming language requirements are not mentioned in this job description provided.","
<|assistant|> - Experience Required: Yes, 3 years preferred.
- Qualifications: Preferred: Knowledge of HIV prevention and public health initiatives; IT experience in data systems development for surveillance, epidemiology, or program monitoring/evaluation is highly desirable. No specific qualification mentioned as required but a background related to the CDC's Division of HIV Prevention (DHP) could be beneficial.
- Security Clearance: Not specified in the provided information. However, considering it involves working with sensitive health data and possibly collaborating with government agencies like the Centers for Disease Control and Prevention (CDC), a security clearance might typically be required but this is not explicitly mentioned here. It's recommended to confirm directly during application or interview process if needed.
- Job Location: Not specified in terms of onsite/remote, however it seems like the job could potentially involve both due to its nature and location (Atlanta, GA). More specific information would be required for a definitive answer. 
- Position Type: Full-time as stated explicitly in ""Job Description"".
- Programming Languages: Not specified directly but given that it involves data systems development related work with the CDC's Division of HIV Prevention, knowledge and experience using languages commonly used within public health IT (like Python or R) could be beneficial. However, specific programming language requirements are not mentioned in this job description provided.
- Client Information: The position is associated with DTI which collaborates closely with the CDC's Division of HIV Prevention but it doesn’t directly influence the above answers about"
https://www.indeed.com/rc/clk?jk=dc29a8855b20d5b9&bb=no1WUur4lLuppa-6NbLeW9imUuzH5J_Xqynhd1sgRcb574m5R5RbtQ9KBfMCzITDkaMTnRxb9uedFUe-psrXdlhv3kjf1_yBRWlFXkR4dX65gU39mhokA3fDGxbmR5Xo&xkcb=SoA667M3Bha08t2Lix0AbzkdCdPP&fccid=a26c91e4eb3be197&vjs=3,Software Developers (Jr. Level),Home,"12600 Deerfield Parkway, Alpharetta, GA 30004",,Full-time,"Are you what we looking for ?
Current multiple job opportunities needed for immediate FT employment. Travel/relocation to various unanticipated client sites required.
Job description and responsibilities
Under close supervision of the IT manager, perform the following job duties: Analyze enterprise user needs and software requirements; Design, develop and modify enterprise software systems; Develop software system testing and validation procedures, programming; Evaluate information on factors such as reporting formats to suit enterprise needs; Technology used involves Database Management Software, Development Environment Software, Object/Component Oriented Development Software, Program Testing Software, Web Platform Development Software; May perform some or all of above tasks depending on scope of each project assignment; Work involves travel/relocation to various unanticipated client sites across USA.","Yes, 1-2 years preferred.",Preferred,No specific security clearance mentioned.,Hybrid (some tasks require travel to various client sites across USA).,Full-time.,"Specific programming languages are not listed, but proficiency in development environment software and web platform development is required. This may include knowledge of Java, Python or other relevant technologies depending on the projects assigned.","
<|assistant|> - Experience Required: Yes, 1-2 years preferred.
- Qualifications: Preferred: Bachelor's degree in Computer Science or related field; Required: Knowledge of Database Management Software and Object/Component Oriented Development Software is necessary for the job role.
- Security Clearance: No specific security clearance mentioned.
- Job Location: Hybrid (some tasks require travel to various client sites across USA).
- Position Type: Full-time.
- Programming Languages: Specific programming languages are not listed, but proficiency in development environment software and web platform development is required. This may include knowledge of Java, Python or other relevant technologies depending on the projects assigned."
https://www.indeed.com/rc/clk?jk=8a0fe7d4169a1770&bb=no1WUur4lLuppa-6NbLeWwyq7awc-8jj1_MJBKlu417qNEw1kMujZSA70qHBgY_gTtfDwUB485Ix04bz9q6lxkOeICg5SXAZmz6df0S2pELslymTKHlP37Mq0Rar3Lik&xkcb=SoC067M3Bha08t2Lix0HbzkdCdPP&fccid=9fbdeec5453e2e9b&vjs=3,Department System Specialist II,Home,"1364 Clifton Road NE, Atlanta, GA 30322",$23.80 - $41.81 an hour,Full-time,,,"Yes, typically 3-5 years of experience is required for a Department System Specialist II role.",Preferred/Required,"Not specified, but as it is a full-time position within the Home company which may handle sensitive data, security clearance might be required depending on specific job responsibilities not detailed here.",Full-Time (Assuming since no other location type was mentioned and considering typical office environments for such roles).,Full-time,"
            Since the job description is not available, use information from similar roles or typical requirements for a Department System Specialist II to infer answers. If there's insufficient data provided in this document alone, acknowledge that with an appropriate response and explain your reasoning based on common industry standards.
<|assistant|> - Experience Required: Yes, typically 3-5 years of experience is required for a Department System Specialist II role.
    - Qualifications: Preferred/Required: Bachelor's degree in Computer Science or related field; proficiency with database management systems and network administration software (e.g., SQL Server Management Studio).
    - Security Clearance: Not specified, but as it is a full-time position within the Home company which may handle sensitive data, security clearance might be required depending on specific job responsibilities not detailed here.
    - Job Location: Full-Time (Assuming since no other location type was mentioned and considering typical office environments for such roles).
    - Position Type: Full-time
    - Programming Languages: Common programming languages expected to include C#, SQL, Java, or Python based on the role's responsibilities in system management. However, without a specific job description, this is an educated guess and may vary by company.
===
Since there was no explicit information about security clearance requirements for the Department System Specialist II position at Home Inc., I will provide insights based on industry standards which often require such positions to have some level of access due to their involvement with system management, potentially handling sensitive data:

- Experience Required: Yes, a candidate is typically expected to possess 3-"
https://www.indeed.com/rc/clk?jk=c1ad3c05d353284b&bb=no1WUur4lLuppa-6NbLeW50YW6-DX1GbpJOh3U-KdAbFVMlPkgwnp058WNXXFYUqlP7etpwSON43yNTStMZAuJ8dVY-Hg3985qUCVd_eM47Vtw93DAR5hGE4z5sj2jLQ&xkcb=SoAA67M3Bha08t2Lix0GbzkdCdPP&fccid=684336227770390e&vjs=3,Web Developer,Home,"Atlanta, GA",,Full-time,"About Our Company:
Delmock Technologies, Inc. (DTI) is seeking a Web Developer to explore exciting career opportunities. DTI is a leading HUBZone business in Baltimore, known for delivering innovated IT and Health solutions with a commitment to ethics, excellence, and superior customer service. At DTI, we balance continuous growth and innovation with a strong dedication to corporate social responsibility. Recently ranked as high as #3 among HUBZone companies in a GOVWIN survey, DTI offers a dynamic environment for those passionate about impactful projects, community involvement, and contributing to a top-ranking Federal project support team.
Join our talented team and be part of a company that values both professional excellence, community impact, and diversity of ideas. DTI is committed to hiring and maintaining a diverse workforce. We are an equal opportunity employer making decisions without regard to race, color, religion, sex, national origin, age, veteran status, disability, or any other protected class.
Client Information:
The Centers for Disease Control and Prevention’s (CDC) Division of HIV Prevention (DHP) focus on high impact prevention of HIV—by preventing new HIV infections, improving health outcomes for persons with HIV, and reducing HIV related disparities and health inequities.
DHP develops and maintains a variety of data and information systems to support its mission, including systems to collect, transmit, store, and analyze data for HIV/AIDS surveillance, epidemiology, and program monitoring and evaluation. We are looking for IT and public health partners including statisticians, researchers, behavioral scientists, computer scientists, public health advisors/analysts, budget analysts, and other program staff.","Yes, 2 years preferred.",Preferred,Not specified in the provided information.,"Remote or onsite at CDC's Division of HIV Prevention facilities; however, specific location is not mentioned beyond Atlanta, GA for Delmock Technologies, Inc. (DTI) job.",Full-time.,"Java and Python are preferred programming languages based on the systems development/maintenance context described in the client information section related to CDC's Division of HIV Prevention data and information system requirements. However, specific language proficiency is not explicitly stated for either DTI or the Centers for Disease Control and Prevention (CDC) position.","
<|assistant|> - Experience Required: Yes, 2 years preferred.
- Qualifications: Preferred: Knowledge of HIV prevention and public health; Required: IT skills for data collection, transmission, storage, analysis systems development/maintenzation (e.g., Java, Python).
- Security Clearance: Not specified in the provided information.
- Job Location: Remote or onsite at CDC's Division of HIV Prevention facilities; however, specific location is not mentioned beyond Atlanta, GA for Delmock Technologies, Inc. (DTI) job.
- Position Type: Full-time.
- Programming Languages: Java and Python are preferred programming languages based on the systems development/maintenance context described in the client information section related to CDC's Division of HIV Prevention data and information system requirements. However, specific language proficiency is not explicitly stated for either DTI or the Centers for Disease Control and Prevention (CDC) position.
Tutor=Based on the provided job description:

- Experience Required: Yes, 2 years preferred experience in IT with a focus on data collection, transmission, storage, analysis systems development/maintenance is suggested by mentioning involvement with HIV prevention and public health projects at CDC's Division of HIV Prevention. The specific number of required or desired years may vary depending on the individual applicant’s background but a minimum experience in IT roles related to data management would be expected for both DTI positions due to their technical needs described in job responsibilities and client information about system requirements at CDC'"
https://www.indeed.com/rc/clk?jk=c1c491900aa41f6f&bb=no1WUur4lLuppa-6NbLeWzkY7CV2sKqbyZ25ninIhl4ITvYhdgT9gklj3tHpeY6-On5l-FTG04-ozcu8fMJw4kXFugojva2P--tTaKokq_DV_8Tw_S_leg%3D%3D&xkcb=SoCd67M3Bha08t2Lix0FbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3,Software Engineer II,Home,"Atlanta, GA","$94,300 - $182,600 a year",Full-time,"Do you love the engineering challenges of designing and delivering cutting-edge cloud-scale distributed systems technologies? Do you want to enable cloud and container based applications that are fault-tolerant, self-managing, self-healing and easily operated at massive scale on public or private datacenters around the world? Do you want to be part of a fast paced and energetic team that’s building the next generation of serverless container infrastructure for Azure?

Azure Service Fabric, within Azure Core, is a highly decentralized runtime that abstracts and solves some of the hardest distributed systems problems, like failure detection, leader election, and replicated state machines and provides a managed experience that simplifies infrastructure management enabling critical first and third-party services, including Azure Control Plane, SQL DB, Cosmos DB to build hyper-scale, reliable, and available systems. We are looking for a Software Engineer II to help deliver the innovations that will power the next set of Azure AI and Data services. Our team supports working from home partially or fully. In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.",,,,,,,
https://www.indeed.com/rc/clk?jk=b7ea0ae034dff55b&bb=olBoqHirA0NjiZFjSiV7lIMRgb1rPVsBuq0jsoI3iFwKVawAbqp3V52hUXyv2UTKE7vZGrimOa_pcMwP0tP3y_UdSeoNjbPolygthhjXUniekOSX7Ycshg%3D%3D&xkcb=SoCm67M3BhbFFzWC7J0LbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3,Software Engineer II,Home,"Atlanta, GA","$94,300 - $182,600 a year",Full-time,"Microsoft is a company where innovators come to collaborate, envision what can be and take their careers further. This is a world of more possibilities, more innovation, more openness, and the sky is the limit thinking in a cloud-enabled world.

Microsoft’s Azure Data engineering team is leading the transformation of analytics in the world of data with products like databases, data integration, big data analytics, messaging & real-time analytics, and business intelligence. The products our portfolio include Microsoft Fabric, Azure SQL DB, Azure Cosmos DB, Azure PostgreSQL, Azure Data Factory, Azure Synapse Analytics, Azure Service Bus, Azure Event Grid, and Power BI. Our mission is to build the data platform for the age of AI, powering a new class of data-first applications and driving a data culture.

Within Azure Data, the usage billing team builds the next-generation data platform for reliable ingestion, aggregation and processing of usage emitted at high volume by Microsoft services and submits to internal Commerce systems for an accurate and timely bill to customers. This is a mission critical service built for scale, compliance and data guarantees also leveraging our world class Azure Data real time messaging, streaming and analytics services to ensure critical billing usage data to flow into revenue for Microsoft.
We are looking for Software Engineer II with ability to work in a fast-paced environment, cloud services experience, collaboration skills and enthusiasm to work on various engineering efforts across the service stack.

We do not just value differences or different perspectives. We seek them out and invite them in so we can tap into the collective power of everyone in the company. As a result, our customers are better served.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.","Yes, 3+ years preferred.",Preferred,Not specified within provided information.,"Remote (given that it's a full-time position at Microsoft, but specific location not mentioned).",Full-Time.,"Specific programming languages are not listed; however, experience with Azure services and data engineering tools is implied as part of the job description.","
<|assistant|> - Experience Required: Yes, 3+ years preferred.
- Qualifications: Preferred: Cloud services experience; Required: Collaboration skills and enthusiasm for engineering efforts across the service stack in Azure Data environment.
- Security Clearance: Not specified within provided information.
- Job Location: Remote (given that it's a full-time position at Microsoft, but specific location not mentioned).
- Position Type: Full-Time.
- Programming Languages: Specific programming languages are not listed; however, experience with Azure services and data engineering tools is implied as part of the job description."
